domain,type,correct
aaaa.com,fake,
aaaaa.com,fake,
asd.com,fake,
asda.com,fake,
asdas.com,fake,
asdasd.com,fake,
asdf.com,fake,
asdfasd.com,fake,
asdfasdf.com,fake,
asdsa.com,fake,
ass.com,fake,
bounce.n4p.ch,fake,
dd.com,fake,
dfdf.com,fake,
dsad.com,fake,
example.com,fake,
example.org,fake,
fdsa.com,fake,
ff.com,fake,
fsdf.com,fake,
fuck.com,fake,
fuckoff.com,fake,
fuckyou.com,fake,
kk.com,fake,
putos.com,fake,
sad.com,fake,
sdf.com,fake,
sdfs.com,fake,
sdfsdf.com,fake,
sdsd.com,fake,
test.com,fake,
test.net,fake,
test1.com,fake,
teste.com,fake,
yourdomain.com,fake,
www.com,fake,
aaa.fr,fake,
aas.com,fake,
adad.com,fake,
asasa.com,fake,
asdfa.com,fake,
dfds.de,fake,
dfsdf.com,fake,
dsada.com,fake,
dsfsdf.com,fake,
fdg.com,fake,
fdsfds.com,fake,
fff.com,fake,
fghfg.com,fake,
foo.org,fake,
fsdfsdf.com,fake,
fsf.com,fake,
gdfg.com,fake,
ggg.com,fake,
jjj.com,fake,
kjk.com,fake,
kkk.com,fake,
ljlk.com,fake,
net.net,fake,
q.com,fake,
qwer.com,fake,
sadas.com,fake,
sadf.com,fake,
safd.com,fake,
sdfd.com,fake,
sdfsd.com,fake,
sdfsdfsdf.com,fake,
sdfsd.net,fake,
sdsds.com,fake,
sfsdf.com,fake,
test.de,fake,
test.nl,fake,
testtest.com,fake,
wwww.com,fake,
gmail.co,typo,gmail.com
gmail.cim,typo,gmail.com
gmail.com.com,typo,gmail.com
gmail.comcon,typo,gmail.com
gmail.co,typo,gmail.com
dmail.com,typo,gmail.com
gail.com,typo,gmail.com
gamail.com,typo,gmail.com
gamial.com,typo,gmail.com
gamil.com,typo,gmail.com
ggmail.com,typo,gmail.com
gmai.com,typo,gmail.com
gmaiil.com,typo,gmail.com
gmail.cm,typo,gmail.com
gmaild.com,typo,gmail.com
gmaile.com,typo,gmail.com
gmaill.com,typo,gmail.com
gmain.com,typo,gmail.com
gmaio.com,typo,gmail.com
gmal.com,typo,gmail.com
gmali.com,typo,gmail.com
gmanil.com,typo,gmail.com
gmaol.com,typo,gmail.com
gmaqil.com,typo,gmail.com
gmeil.com,typo,gmail.com
gmial.com,typo,gmail.com
gmil.com,typo,gmail.com
gmmail.com,typo,gmail.com
gmsil.com,typo,gmail.com
hmail.com,typo,gmail.com
ygmail.com,typo,gmail.com
gmail.con,typo,gmail.com
gmail.coma,typo,gmail.com
gmail.comb,typo,gmail.com
gmail.comcom,typo,gmail.com
gmail.come,typo,gmail.com
gmail.comll,typo,gmail.com
gail.com.ar,typo,gmail.com
gamail.com.ar,typo,gmail.com
gamial.com.ar,typo,gmail.com
gamil.com.ar,typo,gmail.com
ggmail.com.ar,typo,gmail.com
gmai.com.ar,typo,gmail.com
gmaiil.com.ar,typo,gmail.com
gmail.cm.ar,typo,gmail.com
gmaild.com.ar,typo,gmail.com
gmaile.com.ar,typo,gmail.com
gmaill.com.ar,typo,gmail.com
gmain.com.ar,typo,gmail.com
gmaio.com.ar,typo,gmail.com
gmal.com.ar,typo,gmail.com
gmali.com.ar,typo,gmail.com
gmanil.com.ar,typo,gmail.com
gmaol.com.ar,typo,gmail.com
gmaqil.com.ar,typo,gmail.com
gmeil.com.ar,typo,gmail.com
gmial.com.ar,typo,gmail.com
gmil.com.ar,typo,gmail.com
gmmail.com.ar,typo,gmail.com
gmsil.com.ar,typo,gmail.com
hmail.com.ar,typo,gmail.com
ygmail.com.ar,typo,gmail.com
gmail.com.ar,typo,gmail.com
gmail.coma,typo,gmail.com
gmail.comb,typo,gmail.com
gmail.comc,typo,gmail.com
gmail.comd,typo,gmail.com
gmail.come,typo,gmail.com
gmail.comf,typo,gmail.com
gmail.comg,typo,gmail.com
gmail.comh,typo,gmail.com
gmail.comi,typo,gmail.com
gmail.comj,typo,gmail.com
gmail.comk,typo,gmail.com
gmail.coml,typo,gmail.com
gmail.comm,typo,gmail.com
gmail.comn,typo,gmail.com
gmail.como,typo,gmail.com
gmail.comp,typo,gmail.com
gmail.comq,typo,gmail.com
gmail.comr,typo,gmail.com
gmail.coms,typo,gmail.com
gmail.comt,typo,gmail.com
gmail.comu,typo,gmail.com
gmail.comv,typo,gmail.com
gmail.comw,typo,gmail.com
gmail.comx,typo,gmail.com
gmail.comy,typo,gmail.com
gmail.comz,typo,gmail.com
hoitmail.com,typo,hotmail.com
homail.com,typo,hotmail.com
homail.it,typo,hotmail.it
homtail.com,typo,hotmail.com
homtmail.com,typo,hotmail.com
hormail.com,typo,hotmail.com
hotail.com,typo,hotmail.com
hotamail.com,typo,hotmail.com
hotamil.com,typo,hotmail.com
hotmaail.com,typo,hotmail.com
hotmail.cor,typo,hotmail.com
hotmail.coma,typo,hotmail.com
hotmail.comb,typo,hotmail.com
hotmail.comc,typo,hotmail.com
hotmail.comd,typo,hotmail.com
hotmail.come,typo,hotmail.com
hotmail.comf,typo,hotmail.com
hotmail.comg,typo,hotmail.com
hotmail.comh,typo,hotmail.com
hotmail.comi,typo,hotmail.com
hotmail.comj,typo,hotmail.com
hotmail.comk,typo,hotmail.com
hotmail.coml,typo,hotmail.com
hotmail.comm,typo,hotmail.com
hotmail.comn,typo,hotmail.com
hotmail.como,typo,hotmail.com
hotmail.comp,typo,hotmail.com
hotmail.comq,typo,hotmail.com
hotmail.comr,typo,hotmail.com
hotmail.coms,typo,hotmail.com
hotmail.comt,typo,hotmail.com
hotmail.comu,typo,hotmail.com
hotmail.comv,typo,hotmail.com
hotmail.comw,typo,hotmail.com
hotmail.comx,typo,hotmail.com
hotmail.comy,typo,hotmail.com
hotmail.comz,typo,hotmail.com
hotmail.comcom,typo,hotmail.com
hotmai.co.uk,typo,hotmali.co.uk
hotmai.com,typo,hotmail.com
hotmai.fr,typo,hotmail.fr
hotmaiil.com,typo,hotmail.com
hotmail.con,typo,hotmail.com
hotmail.co,typo,hotmail.com
hotmaill.com,typo,hotmail.com
hotmail.net,typo,hotmail.com
hotmail.ocm,typo,hotmail.com
hotmailt.com,typo,hotmail.com
hotmal.com,typo,hotmail.com
hotmial.com,typo,hotmail.com
hotmiail.com,typo,hotmail.com
hotmil.com,typo,hotmail.com
hotmmail.com,typo,hotmail.com
hotmqil.com,typo,hotmail.com
hotmsil.com,typo,hotmail.com
htoamil.com,typo,hotmail.com
htomail.com,typo,hotmail.com
hoymail.com,typo,hotmail.com
hotmail.col,typo,hotmail.com
hoitmail.com.ar,typo,hotmail.com.ar
hotmail.com.arg,typo,hotmail.com.ar
hotmail.com.comar,typo,hotmail.com.ar
hotmail.com.qr,typo,hotmail.com.ar
homail.com.ar,typo,hotmail.com.ar
homtail.com.ar,typo,hotmail.com.ar
homtmail.com.ar,typo,hotmail.com.ar
hormail.com.ar,typo,hotmail.com.ar
hotail.com.ar,typo,hotmail.com.ar
hotamail.com.ar,typo,hotmail.com.ar
hotamil.com.ar,typo,hotmail.com.ar
hotmaail.com.ar,typo,hotmail.com.ar
hotmai.com.ar,typo,hotmail.com.ar
hotmaiil.com.ar,typo,hotmail.com.ar
hotmail.con.ar,typo,hotmail.com.ar
hotmail.co.ar,typo,hotmail.com.ar
hotmaill.com.ar,typo,hotmail.com.ar
hotmail.net.ar,typo,hotmail.com.ar
hotmail.ocm.ar,typo,hotmail.com.ar
hotmailt.com.ar,typo,hotmail.com.ar
hotmal.com.ar,typo,hotmail.com.ar
